year,hires,terminations,net_change,change_percent
2000,220,31,189,14.0909
2001,1122,203,919,18.0927
2002,1067,173,894,16.2137
2003,1142,192,950,16.8126
2004,1135,195,940,17.1806
2005,1097,173,924,15.7703
2006,1118,177,941,15.8318
2007,1090,144,946,13.2110
2008,1108,139,969,12.5451
2009,1140,145,995,12.7193
2010,1099,124,975,11.2830
2011,1101,112,989,10.1726
2012,1103,106,997,9.6102
2013,1105,92,1013,8.3258
2014,1053,85,968,8.0722
2015,1059,70,989,6.6100
2016,1122,62,1060,5.5258
2017,1091,51,1040,4.6746
2018,1147,43,1104,3.7489
2019,1083,45,1038,4.1551
2020,1012,22,990,2.1739
